item,link_coto,link_disco
COCA COMUN LATA 354CC,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-gaseosa-coca-cola-sabor-original-354-ml/_/A-00003750-00003750-200,https://www.disco.com.ar/gaseosa-coca-cola-sabor-original-354-ml/p
LECHE SERENISIMA DESCREMADA 0% BOT 1L,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-leche-descremada-menos-calorias-la-serenisima-botella-larga-vida-1l/_/A-00508910-00508910-200,https://www.disco.com.ar/leche-uat-desc-ls-0bot-1l/p
YERBA MATE PLAYADITO 1KG,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-suave-playadito-1-kg/_/A-00502038-00502038-200,https://www.disco.com.ar/yerba-mate-playadito-suave-x1kg/p
SAL FINA CELUSAL 500G,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sal-fina--celusal-est-500-grm/_/A-00011701-00011701-200,https://www.disco.com.ar/sal-fina-celusal-3-2/p
GALLETITAS DON SATUR SALADAS 200GR,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bizcochos-salados-don-satur-bsa-200-grm/_/A-00109387-00109387-200,https://www.disco.com.ar/bizcocho-don-satur-x-200-gr/p
FIDEOS MATARAZZO 500G,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-espagueti-matarazzo-----paquete-500-gr/_/A-00263801-00263801-200,https://www.disco.com.ar/fideos-spaghetti-matarazzo-x500-gr-2/p
MAYONESA HELLMANS CLASICA 475G,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mayonesa-clasica-hellmanns-pou-475-grm/_/A-00530669-00530669-200,https://www.disco.com.ar/mayonesa-hellmanns-clasica-x475g/p
PAPA NEGRA 1KG,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papa-negra-selec---xkg/_/A-00060947-00060947-200,https://www.disco.com.ar/papa-negra-granel/p
ATUN LA CAMPAGNOLA 170G,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lomo-de-atun-al-natural-la-campagnola-170-grm/_/A-00535413-00535413-200,https://www.disco.com.ar/atun-la-campagnola-al-natural-x170g/p
LAVANDINA AYUDIN 1L,https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lavandina-ayudin-clasica-1-l/_/A-00511468-00511468-200,https://www.disco.com.ar/lavandina-ayudin-clasica-1lt/p
